Hour,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
37,1302.684,20.5,24,20.60839738799021,142.9907029056063,95,1352.684,70.5,90,70.60839738799021
38,1326.668,20.1,24,21.04057350283576,143.9661206314858,80,1376.668,70.1,80,71.04057350283577
39,1379.857,19.9,23,21.47274961768132,144.6051460118132,100,1429.857,69.9,80,71.47274961768132
40,1396.177,20.1,24,21.47274961768132,142.6409870406859,97,1446.177,70.1,82,71.47274961768132
41,1355.516,20.7,18,21.04057350283576,140.5806160755867,96,1405.516,70.7,82,71.04057350283577
42,1343.335,20.9,20,84.00759129103794,139.9171535712533,114,1393.335,70.9,87,134.007591291038
43,1345.011,21.4,23,21.04057350283576,138.4719367514212,116,1395.011,71.4,90,71.04057350283577
44,1345.024,21.5,23,21.47274961768132,136.4717864459743,124,1395.024,71.5,94,71.47274961768132
45,1340.966,21.2,23,21.47274961768132,135.4624104300064,94,1390.966,71.2,84,71.47274961768132
46,1328.657,20.6,20,22.04898443747539,133.7094002819445,91,1378.657,70.6,86,72.0489844374754
47,1297.345,20.0,19,22.19304314242391,133.1513263784694,82,1347.345,70.0,82,72.1930431424239
48,1308.288,19.1,16,22.33710184737243,131.9058212393627,80,1358.288,69.1,83,72.33710184737242
49,1325.159,19.0,17,22.33710184737243,131.4912470591619,74,1375.159,69.0,82,72.33710184737242
50,1256.391,19.3,17,22.19304314242391,131.1676807242932,76,1306.391,69.3,83,72.1930431424239
51,1265.364,19.6,17,22.04898443747539,131.2586391570337,76,1315.364,69.6,83,72.0489844374754
52,1220.98,20.0,17,22.33710184737243,130.3921974586471,77,1270.98,70.0,84,72.33710184737242
53,1222.166,22.1,17,22.62521925726946,131.7316968241387,85,1272.166,72.1,95,72.62521925726946
54,1226.441,23.8,22,22.62521925726946,135.835562723344,116,1276.441,73.8,91,72.62521925726946
55,1231.869,25.7,27,48.15776726442678,138.7254585027207,119,1281.869,75.7,93,98.15776726442678
56,1278.102,26.7,30,23.05739537211502,140.4737913684307,108,1328.102,76.7,87,73.05739537211502
57,1301.221,25.3,30,22.9133366671665,141.014144394329,97,1351.221,75.3,88,72.9133366671665
58,1352.821,23.6,29,22.76927796221798,141.7356660896704,101,1402.821,73.6,91,72.76927796221798
59,1436.897,23.7,28,60.49186515315988,142.8747516082212,92,1486.897,73.7,88,110.4918651531599
60,1494.037,24.0,28,23.20145407706354,142.5778524878903,92,1544.037,74.0,86,73.20145407706354
61,1508.775,23.6,26,23.63363019190909,142.9248490897039,86,1558.775,73.6,91,73.63363019190909
62,1525.368,23.0,29,24.06580630675465,143.9563685914122,96,1575.368,73.0,92,74.06580630675465
63,1559.662,23.2,29,24.49798242160021,145.9900126602616,99,1609.662,73.2,94,74.49798242160021
64,1576.345,23.8,29,24.78609983149724,144.89632184926,105,1626.345,73.8,86,74.78609983149724
65,1593.917,23.9,27,24.64204112654873,144.6674805397157,102,1643.917,73.9,93,74.64204112654872
66,1565.224,23.9,29,87.89717632464794,143.5121286134896,102,1615.224,73.9,85,137.8971763246479
67,1498.784,23.7,24,24.93015853644576,143.4742014895502,123,1548.784,73.7,87,74.93015853644576
68,1448.664,23.4,23,24.64204112654873,142.123153954404,130,1498.664,73.4,91,74.64204112654872
69,1429.778,23.1,25,24.64204112654873,140.3528015572786,97,1479.778,73.1,91,74.64204112654872
70,1411.082,22.7,26,24.35392371665169,138.3660494337465,99,1461.082,72.7,87,74.35392371665169
71,1359.675,22.8,26,24.20986501170317,136.1220359076706,94,1409.675,72.8,82,74.20986501170317
72,1344.349,22.0,28,24.20986501170317,134.8013150183534,82,1394.349,72.0,84,74.20986501170317
73,1349.405,21.3,24,23.63363019190909,138.0869748487027,72,1399.405,71.3,82,73.63363019190909
74,1333.142,20.4,19,23.20145407706354,139.0103647400731,77,1383.142,70.4,83,73.20145407706354
75,1297.85,19.6,17,22.76927796221798,137.8001587965647,77,1347.85,69.6,82,72.76927796221798
76,1251.314,20.6,18,22.62521925726946,140.0280228621258,79,1301.314,70.6,82,72.62521925726946
77,1301.379,23.2,20,22.76927796221798,144.0619893952069,86,1351.379,73.2,91,72.76927796221798
78,1407.918,26.1,21,22.62521925726946,152.6713821360171,98,1457.918,76.1,88,72.62521925726946
79,1462.753,28.1,25,47.72559114958122,160.8096896057363,121,1512.753,78.1,85,97.72559114958122
80,1506.451,30.8,27,22.33710184737243,162.9897550230471,105,1556.451,80.8,89,72.33710184737242
81,1540.783,33.2,27,22.19304314242391,163.3450880968775,110,1590.783,83.2,92,72.1930431424239
82,1559.771,32.4,28,21.90492573252687,163.9808956180948,98,1609.771,82.4,88,71.90492573252688
83,1565.115,33.0,29,59.9156303333658,163.37119969159,107,1615.115,83.0,93,109.9156303333658
84,1549.425,32.7,27,22.48116055232095,162.3028968043389,124,1599.425,82.7,94,72.48116055232094
85,1554.436,32.1,26,22.48116055232095,163.9911982038401,108,1604.436,82.1,86,72.48116055232094
86,1546.572,30.1,25,22.33710184737243,166.6570618840195,95,1596.572,80.1,86,72.33710184737242
87,1536.905,30.6,23,22.19304314242391,167.524762818205,94,1586.905,80.6,85,72.1930431424239
88,1517.191,31.1,23,22.19304314242391,163.2233458612263,99,1567.191,81.1,84,72.1930431424239
89,1457.431,30.7,26,22.33710184737243,161.2970708837323,100,1507.431,80.7,86,72.33710184737242
90,1452.758,30.1,28,85.44817834052313,157.6406368467255,124,1502.758,80.1,88,135.4481783405231
91,1457.105,29.9,24,22.33710184737243,154.2431151243982,109,1507.105,79.9,87,72.33710184737242
92,1440.334,30.9,25,22.33710184737243,151.5622387149361,141,1490.334,80.9,91,72.33710184737242
93,1388.617,31.0,26,22.33710184737243,151.0789250959742,118,1438.617,81.0,94,72.33710184737242
94,1366.43,29.1,26,22.19304314242391,150.1476320894718,104,1416.43,79.1,86,72.1930431424239
95,1311.573,27.9,24,22.04898443747539,147.2469184561274,89,1361.573,77.9,84,72.0489844374754
96,1317.004,28.3,20,22.04898443747539,143.1964168268536,80,1367.004,78.3,82,72.0489844374754
97,1315.326,26.7,19,22.04898443747539,145.379176257316,78,1365.326,76.7,84,72.0489844374754
98,1274.862,26.2,18,22.04898443747539,144.2183667163935,74,1324.862,76.2,83,72.0489844374754
99,1289.264,26.2,17,22.62521925726946,144.5037687710461,75,1339.264,76.2,82,72.62521925726946
100,1296.618,27.4,15,22.9133366671665,145.7014444545411,76,1346.618,77.4,81,72.9133366671665
101,1335.442,28.8,17,23.34551278201205,148.8789155969064,73,1385.442,78.8,85,73.34551278201205
102,1363.948,27.9,23,23.63363019190909,156.7277416340601,93,1413.948,77.9,83,73.63363019190909
103,1421.829,28.8,28,48.87806078916937,165.3010170324015,107,1471.829,78.8,82,98.87806078916937
104,1477.161,30.2,26,23.63363019190909,162.1696678929429,97,1527.161,80.2,97,73.63363019190909
105,1508.678,29.0,28,23.63363019190909,158.9849451809378,93,1558.678,79.0,88,73.63363019190909
106,1560.981,28.7,29,23.48957148696057,174.6726096294663,144,1610.981,78.7,85,73.48957148696057
107,1601.978,29.0,30,60.92404126800543,173.2805181110911,122,1651.978,79.0,88,110.9240412680054
108,1646.732,29.1,31,22.9133366671665,168.2885073918082,109,1696.732,79.1,87,72.9133366671665
109,1682.663,28.2,32,23.34551278201205,168.6463793546642,113,1732.663,78.2,97,73.34551278201205
110,1688.85,27.8,35,23.92174760180614,169.7851244216674,121,1738.85,77.8,96,73.92174760180613
111,1696.852,28.2,32,24.06580630675465,170.4701207884235,104,1746.852,78.2,87,74.06580630675465
112,1745.405,29.2,33,24.20986501170317,165.0835937767145,125,1795.405,79.2,87,74.20986501170317
113,1690.04,30.7,34,24.20986501170317,160.8660690102579,111,1740.04,80.7,96,74.20986501170317
114,1613.162,31.2,35,87.17688279990534,158.1663178365151,127,1663.162,81.2,95,137.1768827999053
115,1515.712,30.6,36,24.20986501170317,154.821975298324,127,1565.712,80.6,91,74.20986501170317
116,1561.249,30.6,38,24.35392371665169,153.0652261030837,103,1611.249,80.6,90,74.35392371665169
117,1534.859,30.2,35,24.35392371665169,151.4467762276865,101,1584.859,80.2,91,74.35392371665169
118,1516.853,30.6,36,24.64204112654873,148.8683992926417,118,1566.853,80.6,95,74.64204112654872
119,1473.128,31.9,34,24.64204112654873,146.6378151182816,99,1523.128,81.9,91,74.64204112654872
120,1462.18,31.7,33,24.49798242160021,143.5418949277791,95,1512.18,81.7,95,74.49798242160021
121,1459.114,32.1,33,24.35392371665169,143.1842444154862,96,1509.114,82.1,94,74.35392371665169
122,1434.405,31.4,33,24.49798242160021,142.3917395389624,93,1484.405,81.4,95,74.49798242160021
123,1366.489,31.2,34,24.49798242160021,135.7189600012801,98,1416.489,81.2,96,74.49798242160021
124,1509.948,30.5,37,24.64204112654873,142.9999980302245,101,1559.948,80.5,97,74.64204112654872
125,1561.691,31.2,38,24.78609983149724,148.1897765461299,105,1611.691,81.2,99,74.78609983149724
126,1554.6,32.1,37,25.07421724139428,152.4693367070497,107,1604.6,82.1,100,75.07421724139428
127,1565.036,35.2,36,50.75082395350012,155.2165203442874,105,1615.036,85.2,101,100.7508239535001
128,1589.558,36.2,42,25.65045206118835,157.6445484151282,123,1639.558,86.2,103,75.65045206118836
129,1601.91,37.3,47,26.08262817603391,158.2751519085188,156,1651.91,87.3,118,76.08262817603391
130,1608.34,37.1,48,25.93856947108539,159.4069998717589,156,1658.34,87.1,106,75.93856947108539
131,1671.745,36.5,48,63.51709795707876,158.2901113591882,185,1721.745,86.5,121,113.5170979570788
132,1681.992,35.8,50,25.36233465129132,156.921301628357,178,1731.992,85.8,115,75.36233465129132
133,1647.462,34.3,48,25.07421724139428,156.4662855978277,157,1697.462,84.3,109,75.07421724139428
134,1640.696,33.8,47,25.07421724139428,157.413549140522,146,1690.696,83.8,108,75.07421724139428
135,1640.97,34.0,48,25.07421724139428,160.0646836399575,140,1690.97,84.0,107,75.07421724139428
136,1599.241,35.6,47,24.93015853644576,158.327985083701,150,1649.241,85.6,126,74.93015853644576
137,1591.433,35.5,49,24.78609983149724,149.4366234364391,137,1641.433,85.5,117,74.78609983149724
138,1582.596,36.2,50,88.04123502959645,151.6148250687869,163,1632.596,86.2,110,138.0412350295965
139,1566.999,35.7,50,24.64204112654873,149.3072276856905,162,1616.999,85.7,127,74.64204112654872
140,1547.135,35.6,51,24.78609983149724,148.1299511872101,149,1597.135,85.6,112,74.78609983149724
141,1492.783,35.9,51,24.64204112654873,146.6100431880051,146,1542.783,85.9,107,74.64204112654872
142,1436.655,35.8,51,24.35392371665169,144.3104748073766,127,1486.655,85.8,111,74.35392371665169
143,1404.865,35.1,51,24.35392371665169,142.6483477046295,149,1454.865,85.1,108,74.35392371665169
144,1380.227,34.5,47,24.06580630675465,141.670549959059,128,1430.227,84.5,108,74.06580630675465
145,1337.433,35.0,45,24.06580630675465,140.4981657903951,122,1387.433,85.0,109,74.06580630675465
146,1325.801,34.4,45,24.06580630675465,144.1201472905849,120,1375.801,84.4,109,74.06580630675465
147,1323.853,34.8,44,23.92174760180614,144.3873705856998,121,1373.853,84.8,111,73.92174760180613
148,1319.424,34.8,42,23.92174760180614,144.4109703535395,119,1369.424,84.8,110,73.92174760180613
149,1358.307,34.5,44,23.92174760180614,149.5737412033595,123,1408.307,84.5,110,73.92174760180613
150,1459.117,35.4,43,23.77768889685761,157.7462395285428,120,1509.117,85.4,116,73.77768889685761
151,1519.347,37.2,42,49.02211949411789,164.5196481109543,123,1569.347,87.2,113,99.02211949411789
152,1578.704,37.4,48,23.63363019190909,167.6014696447111,141,1628.704,87.4,115,73.63363019190909
153,1565.155604,36.4,51,23.48957148696057,167.4285975789347,156,1615.155604,86.4,116,73.48957148696057
154,1548.92,36.7,54,23.48957148696057,165.0691741193436,174,1598.92,86.7,117,73.48957148696057
155,1578.063,36.3,50,61.21215867790247,164.5229351960178,153,1628.063,86.3,122,111.2121586779025
156,1628.311,34.7,47,23.05739537211502,162.4913877191337,166,1678.311,84.7,113,73.05739537211502
157,1643.073,33.4,46,22.9133366671665,162.5278525203147,157,1693.073,83.4,113,72.9133366671665
158,1637.311,32.8,44,22.76927796221798,165.0802669441141,141,1687.311,82.8,108,72.76927796221798
159,1614.053,32.9,45,22.76927796221798,163.499718821888,173,1664.053,82.9,108,72.76927796221798
160,1604.402,32.9,42,22.9133366671665,157.2792516365288,149,1654.402,82.9,111,72.9133366671665
161,1569.38,33.1,39,23.05739537211502,154.332547324207,152,1619.38,83.1,113,73.05739537211502
162,1522.156,32.1,38,86.45658927516274,150.8020119795746,163,1572.156,82.1,107,136.4565892751627
163,1531.399,30.9,36,23.05739537211502,151.7054099471678,138,1581.399,80.9,106,73.05739537211502
164,1525.909,30.1,37,23.05739537211502,149.8939770812323,131,1575.909,80.1,108,73.05739537211502
165,1513.505,29.9,37,23.05739537211502,147.8719682883418,133,1563.505,79.9,112,73.05739537211502
166,1499.601,28.5,39,23.05739537211502,146.7487080885377,111,1549.601,78.5,101,73.05739537211502
167,1435.718,28.2,40,23.20145407706354,143.9881492238899,105,1485.718,78.2,100,73.20145407706354
168,1363.436,27.5,41,23.05739537211502,141.8778426669724,93,1413.436,77.5,100,73.05739537211502
169,1309.921,26.9,40,23.05739537211502,141.6509923586721,98,1359.921,76.9,102,73.05739537211502
170,1272.148,26.5,38,22.9133366671665,141.0868190808764,98,1322.148,76.5,100,72.9133366671665
171,1270.283,26.4,33,22.9133366671665,140.9953349899798,100,1320.283,76.4,100,72.9133366671665
172,1302.458,26.7,33,23.05739537211502,143.6284255573891,107,1352.458,76.7,99,73.05739537211502
173,1320.772,26.9,32,22.9133366671665,147.835750187679,126,1370.772,76.9,105,72.9133366671665
174,1343.172,28.8,39,22.76927796221798,148.6585794145814,170,1393.172,78.8,106,72.76927796221798
175,1349.444,28.9,42,47.86964985452974,155.4238595652759,193,1399.444,78.9,119,97.86964985452974
176,1409.338,30.4,44,22.48116055232095,157.4460095887764,126,1459.338,80.4,112,72.48116055232094
177,1467.415,30.7,46,22.04898443747539,157.9828445348068,119,1517.415,80.7,110,72.0489844374754
178,1464.88,31.2,43,21.90492573252687,150.0729712342076,113,1514.88,81.2,107,71.90492573252688
179,1526.498,30.3,41,59.48345421852025,151.1576168830651,125,1576.498,80.3,105,109.4834542185203
180,1564.241,29.6,37,21.61680832262984,150.6940713210537,121,1614.241,79.6,106,71.61680832262984
181,1550.291,29.3,35,21.61680832262984,154.5213792946153,108,1600.291,79.3,101,71.61680832262984
182,1595.383,29.3,30,21.90492573252687,157.2973370074765,98,1645.383,79.3,99,71.90492573252688
183,1611.039,30.6,33,22.33710184737243,152.482079719077,108,1661.039,80.6,98,72.33710184737242
184,1571.943,30.6,34,22.33710184737243,143.711770101756,112,1621.943,80.6,97,72.33710184737242
185,1559.504,29.7,35,22.48116055232095,138.4702592603853,145,1609.504,79.7,100,72.48116055232094
186,1585.234,28.5,38,85.73629575042015,136.6021187405119,143,1635.234,78.5,103,135.7362957504201
187,1555.703,29.1,38,22.9133366671665,139.3272249768198,176,1605.703,79.1,117,72.9133366671665
188,1481.284,28.3,39,23.34551278201205,140.3999927568484,154,1531.284,78.3,116,73.34551278201205
189,1438.657,27.8,38,23.48957148696057,142.1260488798778,143,1488.657,77.8,102,73.48957148696057
190,1417.775,27.4,40,23.34551278201205,138.9046140621075,145,1467.775,77.4,98,73.34551278201205
191,1398.269,27.1,36,23.34551278201205,137.1115229326925,106,1448.269,77.1,101,73.34551278201205
192,1321.573,27.3,33,23.34551278201205,136.3513820955036,95,1371.573,77.3,100,73.34551278201205
193,1283.055,28.4,30,23.48957148696057,130.7625407246835,93,1333.055,78.4,99,73.48957148696057
194,1300.757,27.5,23,23.48957148696057,130.1916685975568,91,1350.757,77.5,98,73.48957148696057
195,1274.245,27.1,24,23.63363019190909,130.7533708833353,92,1324.245,77.1,97,73.63363019190909
196,1246.633,27.0,28,23.63363019190909,131.3869189564176,91,1296.633,77.0,96,73.63363019190909
197,1225.888,27.0,31,23.63363019190909,134.7375382226808,106,1275.888,77.0,101,73.63363019190909
198,1289.584,27.5,29,24.06580630675465,135.5202292027817,154,1339.584,77.5,106,74.06580630675465
199,1364.093,28.6,44,49.45429560896345,137.0960819206786,170,1414.093,78.6,110,99.45429560896345
200,1434.165,29.5,41,24.20986501170317,140.6598678317775,124,1484.165,79.5,101,74.20986501170317
201,1448.4135,30.5,41,24.06580630675465,143.0954491427744,105,1498.4135,80.5,106,74.06580630675465
202,1482.0695,29.8,40,23.92174760180614,143.9013937609478,131,1532.0695,79.8,102,73.92174760180613
203,1491.3755,27.8,36,61.21215867790247,143.684992705596,105,1541.3755,77.8,103,111.2121586779025
204,1508.9665,29.1,29,22.48116055232095,144.6970153759481,115,1558.9665,79.1,97,72.48116055232094
205,1535.9565,28.5,28,22.76927796221798,143.1519814967848,105,1585.9565,78.5,93,72.76927796221798
206,1598.9505,27.3,30,23.77768889685761,144.7153774090832,104,1648.9505,77.3,99,73.77768889685761
207,1715.4165,28.2,34,25.93856947108539,145.2473672632514,112,1765.4165,78.2,100,75.93856947108539
208,1687.0125,29.0,36,27.95539134036465,145.2943239644343,130,1737.0125,79.0,99,77.95539134036466
209,1632.982,29.4,35,28.81974357005576,144.4950917266684,134,1682.982,79.4,102,78.81974357005576
210,1598.058,28.5,37,91.78676135825793,143.0086534490425,142,1648.058,78.5,102,141.7867613582579
211,1561.042,29.0,39,27.23509781562206,137.7238824274271,153,1611.042,79.0,105,77.23509781562205
212,1508.62,30.9,44,26.22668688098243,135.3143960389235,137,1558.62,80.9,121,76.22668688098244
213,1445.502,31.9,44,25.65045206118835,133.5075808944411,154,1495.502,81.9,105,75.65045206118836
214,1438.492,29.5,45,25.79451076613688,131.6880639352266,149,1488.492,79.5,109,75.79451076613688
215,1447.555,28.4,48,25.79451076613688,130.0429834516859,121,1497.555,78.4,107,75.79451076613688
216,1413.936,28.4,48,25.36233465129132,130.1476016268809,110,1463.936,78.4,109,75.36233465129132
217,1367.683,27.7,43,24.78609983149724,131.016427090167,107,1417.683,77.7,105,74.78609983149724
218,1373.491,27.5,42,24.93015853644576,129.0392776816151,111,1423.491,77.5,104,74.93015853644576
219,1388.074,27.5,42,24.93015853644576,129.1765840379131,114,1438.074,77.5,105,74.93015853644576
220,1377.191,27.3,39,24.49798242160021,128.094658135415,115,1427.191,77.3,106,74.49798242160021
221,1363.83,27.6,43,23.92174760180614,129.1925842941478,136,1413.83,77.6,112,73.92174760180613
222,1361.973,28.4,48,23.48957148696057,131.6020838512883,201,1411.973,78.4,119,73.48957148696057
223,1364.094,30.4,53,48.73400208422085,133.83046995061,204,1414.094,80.4,118,98.73400208422085
224,1405.182,32.2,55,23.63363019190909,136.5279448831855,162,1455.182,82.2,131,73.63363019190909
225,1492.48,33.5,56,23.48957148696057,137.3388986575225,130,1542.48,83.5,124,73.48957148696057
226,1427.59,33.0,54,23.48957148696057,137.6385490564536,143,1477.59,83.0,119,73.48957148696057
227,1440.775,31.4,52,61.64433479274803,139.3670779836979,135,1490.775,81.4,119,111.644334792748
228,1492.77,31.0,50,23.77768889685761,139.8905897727996,122,1542.77,81.0,119,73.77768889685761
229,1544.254,31.5,41,23.20145407706354,140.6266040966741,122,1594.254,81.5,110,73.20145407706354
230,1548.71,30.1,44,22.9133366671665,141.7035260379754,133,1598.71,80.1,116,72.9133366671665
231,1524.339,32.4,37,22.9133366671665,144.552253879798,136,1574.339,82.4,106,72.9133366671665
232,1526.572,34.4,39,22.9133366671665,145.7658522574648,131,1576.572,84.4,112,72.9133366671665
233,1537.988,34.6,41,23.20145407706354,145.6931506295776,136,1587.988,84.6,111,73.20145407706354
234,1539.852,32.5,41,87.89717632464794,144.9832060990545,150,1589.852,82.5,106,137.8971763246479
235,1524.523,33.6,40,26.37074558593095,144.0030344952654,151,1574.523,83.6,104,76.37074558593095
236,1483.906,33.4,32,26.65886299582798,142.7250770023875,133,1533.906,83.4,105,76.65886299582799
237,1512.283,32.3,43,28.24350875026169,142.1001818110464,134,1562.283,82.3,108,78.24350875026168
238,1502.249,31.4,38,28.67568486510724,140.5301487849531,132,1552.249,81.4,107,78.67568486510724
239,1491.558,31.5,39,29.1078609799528,139.4823773731514,102,1541.558,81.5,101,79.1078609799528
240,1477.496,31.4,35,28.96380227500428,139.5291416189349,99,1527.496,81.4,101,78.96380227500428
241,1467.996,31.2,31,29.39597838984984,139.0380732434289,95,1517.996,81.2,100,79.39597838984983
242,1478.577,33.4,30,29.1078609799528,138.8932117139639,95,1528.577,83.4,98,79.1078609799528
243,1458.82,34.4,30,28.96380227500428,138.8614208123657,97,1508.82,84.4,99,78.96380227500428
244,1456.023,35.1,30,28.96380227500428,142.836353312871,99,1506.023,85.1,100,78.96380227500428
245,1544.381,37.6,31,28.67568486510724,146.1075280051045,113,1594.381,87.6,103,78.67568486510724
246,1658.979,39.7,36,27.5232152255191,155.8095311246272,171,1708.979,89.7,104,77.5232152255191
247,1716.047,40.5,37,51.61517618319122,165.7920756220398,178,1766.047,90.5,117,101.6151761831912
248,1662.622228,38.5,40,25.79451076613688,163.4861782012313,113,1712.622228,88.5,102,75.79451076613688
249,1567.681,40.0,37,25.50639335623984,163.5381244868424,105,1617.681,90.0,101,75.50639335623984
250,1527.975,40.6,38,24.93015853644576,164.1407487345357,110,1577.975,90.6,100,74.93015853644576
251,1481.539,38.8,34,62.22056961254211,165.1496713386305,108,1531.539,88.8,102,112.2205696125421
252,1452.981,35.0,32,23.20145407706354,165.5809810440933,106,1502.981,85.0,101,73.20145407706354
253,1486.487,33.8,29,22.19304314242391,165.4735022543684,97,1536.487,83.8,101,72.1930431424239
254,1563.774,32.9,28,22.04898443747539,166.9754763823563,96,1613.774,82.9,100,72.0489844374754
255,1593.363,34.1,31,22.04898443747539,166.5653901702508,101,1643.363,84.1,97,72.0489844374754
256,1532.036,36.9,27,22.04898443747539,160.8435709378275,105,1582.036,86.9,100,72.0489844374754
257,1547.378,37.7,34,22.04898443747539,156.9903566311502,115,1597.378,87.7,96,72.0489844374754
258,1533.587,36.3,35,85.01600222567757,152.4352879278879,132,1583.587,86.3,104,135.0160022256776
259,1495.955,35.9,35,21.90492573252687,150.0125387890468,130,1545.955,85.9,100,71.90492573252688
260,1436.622,34.4,34,21.76086702757836,146.9598384271862,138,1486.622,84.4,101,71.76086702757836
261,1314.461,34.0,29,21.47274961768132,145.3881361253534,129,1364.461,84.0,103,71.47274961768132
262,1332.168,33.4,30,21.04057350283576,142.125101825342,121,1382.168,83.4,103,71.04057350283577
263,1260.258,32.2,29,20.75245609293872,142.2975747243642,101,1310.258,82.2,98,70.75245609293873
264,1155.99,30.0,24,20.46433868304169,141.0238943805784,92,1205.99,80.0,95,70.46433868304169
265,1182.552,30.7,24,20.32027997809317,137.8711230100775,89,1232.552,80.7,94,70.32027997809317
266,1224.184,30.5,24,20.46433868304169,137.97342906259,91,1274.184,80.5,93,70.46433868304169
267,1245.421,29.2,24,20.17622127314465,136.7035882825503,91,1295.421,79.2,94,70.17622127314465
268,1275.615,28.3,25,20.46433868304169,138.1116275034259,94,1325.615,78.3,94,70.46433868304169
269,1325.172,28.5,26,21.47274961768132,140.0886858188383,103,1375.172,78.5,96,71.47274961768132
270,1417.794,30.3,32,22.04898443747539,149.6484631900939,159,1467.794,80.3,105,72.0489844374754
271,1554.479,33.0,34,48.01370855947826,158.192319732858,175,1604.479,83.0,117,98.01370855947826
272,1690.045,37.1,36,24.93015853644576,161.7658729064915,120,1740.045,87.1,100,74.93015853644576
273,1803.87,34.7,38,26.94698040572503,161.5620579268433,113,1853.87,84.7,113,76.94698040572503
274,1854.69,33.9,36,26.94698040572503,161.9483359683696,126,1904.69,83.9,100,76.94698040572503
275,1849.391,32.6,37,65.53391982635803,161.9974095581324,113,1899.391,82.6,99,115.533919826358
276,1802.685,31.5,38,28.09945004531317,163.1609119040747,108,1852.685,81.5,100,78.09945004531318
